influenced,influences,link,name
,,https://en.wikipedia.org/wiki/Marinus_of_Neapolis,Marinus of Neapolis
,,https://en.wikipedia.org/wiki/Ammonius_Hermiae,Ammonius Hermiae
,,https://en.wikipedia.org/wiki/Second_Vatican_Council,Second Vatican Council
"Eastern Christianity,Western Christianity","Clement of Alexandria,Plotinus,Iamblichus,Proclus,Origen,Gregory of Nyssa,Basil of Caesarea",https://en.wikipedia.org/wiki/Pseudo-Dionysius,Pseudo-Dionysius the Areopagite
,,https://en.wikipedia.org/wiki/Syrianus,Syrianus
,,https://en.wikipedia.org/wiki/Damascius,Damascius
Pythagoras,Hesiod,https://en.wikipedia.org/wiki/Pherecydes_of_Syros,Pherecydes of Syros
,,https://en.wikipedia.org/wiki/Themistoclea,Themistoclea
,,https://en.wikipedia.org/wiki/Andr%C3%A9_Gunder_Frank,Andre Gunder Frank
"Anaximenes of Miletus,Pythagoras,Democritus,Greek astronomy,Martin Heidegger",Thales,https://en.wikipedia.org/wiki/Anaximander,Anaximander
,,https://en.wikipedia.org/wiki/Mohammed_Abed_al-Jabri,Mohammed Abed al-Jabri
"Pythagoras,Anaximander,Anaximenes of Miletus,Xenophanes","Babylonian astronomy,Ancient Egyptian mathematics,Ancient Egyptian religion",https://en.wikipedia.org/wiki/Thales_of_Miletus,Thales of Miletus
,"René Girard,Edmund Burke,Immanuel Kant,Ludwig Wittgenstein,John Ruskin,Georg Wilhelm Friedrich Hegel,Michael Oakeshott,G. E. M. Anscombe,Jean-Paul Sartre",https://en.wikipedia.org/wiki/Roger_Scruton,Roger Scruton
,,https://en.wikipedia.org/wiki/John_Warwick_Montgomery,John Warwick Montgomery
,,https://en.wikipedia.org/wiki/David_Seabury,David Seabury
,,https://en.wikipedia.org/wiki/Harold_Bloom,Harold Bloom
,,https://en.wikipedia.org/wiki/James_Hillman,James Hillman
,"Ibn Arabi,Rumi,Henri Corbin,Hossein Nasr",https://en.wikipedia.org/wiki/William_Chittick,William Chittick
,"Gaston Bachelard,Carl Gustav Jung,Henry Corbin,Mircea Eliade",https://en.wikipedia.org/wiki/Gilbert_Durand,Gilbert Durand
,,https://en.wikipedia.org/wiki/William_Paley,William Paley
,,https://en.wikipedia.org/wiki/Charles_Olson,Charles Olson
,,https://en.wikipedia.org/wiki/Dariush_Shayegan,Dariush Shayegan
"James Beattie (poet),Dugald Stewart,David Hartley (philosopher),James Frederick Ferrier,Victor Cousin,Arthur Schopenhauer,Charles Sanders Peirce,William James,G.E. Moore,William Alston,Alvin Plantinga,Nicholas Wolterstorff,Roderick Chisholm,George Elder Davie,Keith Lehrer,William L. Rowe,Keith DeRose,Michael Bergmann (philosopher),Michael Huemer","David Hume,Cicero,Thomas Aquinas,George Berkeley",https://en.wikipedia.org/wiki/Thomas_Reid,Thomas Reid
,,https://en.wikipedia.org/wiki/Temenos_Academy,Temenos Academy
,,https://en.wikipedia.org/wiki/Louis_Massignon,Louis Massignon
,,https://en.wikipedia.org/wiki/Shahab_al-Din_Suhrawardi,Shahab al-Din Yahya ibn Habash Suhrawardi
,,https://en.wikipedia.org/wiki/Western_Christianity,Western Christianity
,,https://en.wikipedia.org/wiki/Eastern_Christianity,Eastern Christianity
,,https://en.wikipedia.org/wiki/Ancient_Egyptian_mathematics,Ancient Egyptian mathematics
,,https://en.wikipedia.org/wiki/Babylonian_astronomy,Babylonian astronomy
,"Thales of Miletus,Anaximander of Miletus",https://en.wikipedia.org/wiki/Anaximenes_of_Miletus,Anaximenes of Miletus
,,https://en.wikipedia.org/wiki/Hesiod,Hesiod
,,https://en.wikipedia.org/wiki/Basil_of_Caesarea,Basil of Caesarea
,,https://en.wikipedia.org/wiki/Ren%C3%A9_Girard,René Girard
,,https://en.wikipedia.org/wiki/Ancient_Egyptian_religion,Ancient Egyptian religion
,,https://en.wikipedia.org/wiki/Greek_astronomy,Ancient Greek astronomy
"J. G. A. Pocock,Maurice Cowling,Gertrude Himmelfarb,Margaret Thatcher,Andrew Sullivan,John N. Gray,Hayden White,Richard E. Flathman","Plato,Aristotle,Thomas Hobbes,Baruch Spinoza,Immanuel Kant,Edmund Burke,Hegel,Ferdinand Tönnies,Georg Simmel,F.H. Bradley,Wilhelm Dilthey,R. G. Collingwood,Walter Pater",https://en.wikipedia.org/wiki/Michael_Oakeshott,Michael Oakeshott
"Parmenides,Zeno of Elea,Democritus,Protagoras,Pyrrho,Timon of Phlius,Karl Popper","Thales,Epimenides,Pythagoras,Homer",https://en.wikipedia.org/wiki/Xenophanes,Xenophanes
"Pythagoras,Anaximander,Anaximenes of Miletus,Xenophanes","Babylonian astronomy,Ancient Egyptian mathematics,Ancient Egyptian religion",https://en.wikipedia.org/wiki/Thales,Thales of Miletus
,,https://en.wikipedia.org/wiki/John_Ruskin,John Ruskin
,,https://en.wikipedia.org/wiki/Gregory_of_Nyssa,Gregory of Nyssa
"Temenos Academy,James Hillman,Harold Bloom,Charles Olson,Dariush Shayegan,Gilbert Durand,Hossein Nasr,William Chittick","Avicenna,Shahab al-Din Suhrawardi,Ibn Arabi,Martin Heidegger,Étienne Gilson,Louis Massignon,Martin Luther,Muhammad Husayn Tabatabai,Hossein Nasr",https://en.wikipedia.org/wiki/Henri_Corbin,Henry Corbin
"Athanasius of Alexandria,Tyrannius Rufinus,John II, Bishop of Jerusalem,Pope Dionysius of Alexandria,Basil of Caesarea,Gregory of Nyssa,Gregory of Nazianzus,Arius of Alexandria,Pope Theophilus of Alexandria,Maximus the Confessor,John Scotus Eriugena,Erasmus,Henry More,Pope Benedict XVI","Clement of Alexandria,Plato",https://en.wikipedia.org/wiki/Origen,Origen
"Christian philosophy,Benedict XVI,Eusebius","Stoics,Pythagoras,Plato,Heraclitus,Pantaenus,Xenophanes,Homer",https://en.wikipedia.org/wiki/Clement_of_Alexandria,Clement of Alexandria
"Joseph Butler,Jeremy Bentham,David Hume,Adam Smith","Anthony Ashley-Cooper, 3rd Earl of Shaftesbury,Cicero,John Locke,Richard Cumberland (philosopher),Samuel Pufendorf",https://en.wikipedia.org/wiki/Francis_Hutcheson_(philosopher),Francis Hutcheson (philosopher)
,,https://en.wikipedia.org/wiki/John_Derbyshire,John Derbyshire
"Joseph Priestley,James Mill,William James,William Wordsworth","John Locke,Thomas Reid,Isaac Newton",https://en.wikipedia.org/wiki/David_Hartley_(philosopher),David Hartley (philosopher)
,Thomas Reid,https://en.wikipedia.org/wiki/Dugald_Stewart,Dugald Stewart
Bryan Caplan,"Thomas Reid,G.E. Moore,David D. Friedman,Peter D. Klein",https://en.wikipedia.org/wiki/Michael_Huemer,Michael Huemer
,,https://en.wikipedia.org/wiki/James_Frederick_Ferrier,James Frederick Ferrier
,,https://en.wikipedia.org/wiki/Mircea_Eliade,Mircea Eliade
,,https://en.wikipedia.org/wiki/Carl_Gustav_Jung,Carl Jung
,,https://en.wikipedia.org/wiki/Keith_DeRose,Keith DeRose
,,https://en.wikipedia.org/wiki/Michael_Bergmann_(philosopher),Michael Bergmann (philosopher)
,,https://en.wikipedia.org/wiki/Nicholas_Wolterstorff,Nicholas Wolterstorff
"Paul Draper (philosopher),Michael Bergmann (philosopher)",,https://en.wikipedia.org/wiki/William_L._Rowe,William L. Rowe
,Roderick Chisholm,https://en.wikipedia.org/wiki/Keith_Lehrer,Keith Lehrer
"Anaximenes of Miletus,Pythagoras,Democritus,Greek astronomy,Martin Heidegger",Thales,https://en.wikipedia.org/wiki/Anaximander_of_Miletus,Anaximander
,,https://en.wikipedia.org/wiki/George_Elder_Davie,George Elder Davie
,,https://en.wikipedia.org/wiki/William_Alston,William Alston
,,"https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury","Anthony Ashley-Cooper, 3rd Earl of Shaftesbury"
"Sextus Empiricus,Aenesidemus","Pyrrho,Democritus,Xenophanes",https://en.wikipedia.org/wiki/Timon_of_Phlius,Timon of Phlius
"Plato,Aristotle,Protagoras,Gorgias,Marcus Aurelius",Parmenides,https://en.wikipedia.org/wiki/Zeno_of_Elea,Zeno of Elea
,,https://en.wikipedia.org/wiki/Epimenides,Epimenides
,,https://en.wikipedia.org/wiki/Samuel_Pufendorf,Samuel von Pufendorf
,,https://en.wikipedia.org/wiki/Eusebius,Eusebius
,,https://en.wikipedia.org/wiki/Henry_More,Henry More
"Berengar of Tours,School of Chartres,Honorius Augustodunensis,Hildegard of Bingen,Israel the Grammarian,Amaury of Bene,Alain de Lille,Peter Damian,Thomas Aquinas,Nicholas of Cusa,Georg Wilhelm Friedrich Hegel","Plato,Augustine of Hippo,Cappadocian Fathers,Origen,Pseudo-Dionysius,Maximus the Confessor,Anicius Manlius Severinus Boethius",https://en.wikipedia.org/wiki/John_Scotus_Eriugena,John Scotus Eriugena
,,https://en.wikipedia.org/wiki/Pope_Theophilus_of_Alexandria,Pope Theophilus of Alexandria
,,https://en.wikipedia.org/wiki/Arius_of_Alexandria,Arius
John Stuart Mill,"David Hartley (philosopher),Dugald Stewart,Jeremy Bentham",https://en.wikipedia.org/wiki/James_Mill,James Mill
,,https://en.wikipedia.org/wiki/Erasmus,Erasmus
,,https://en.wikipedia.org/wiki/Maximus_the_Confessor,Maximus the Confessor
,,https://en.wikipedia.org/wiki/Paul_Draper_(philosopher),Paul Draper (philosopher)
,,https://en.wikipedia.org/wiki/Pope_Dionysius_of_Alexandria,Pope Dionysius of Alexandria
,,"https://en.wikipedia.org/wiki/John_II,_Bishop_of_Jerusalem","John II, Bishop of Jerusalem"
,,https://en.wikipedia.org/wiki/Bryan_Caplan,Bryan Caplan
Michael Huemer,,https://en.wikipedia.org/wiki/Peter_D._Klein,Peter D. Klein
,,https://en.wikipedia.org/wiki/Tyrannius_Rufinus,Tyrannius Rufinus
,,https://en.wikipedia.org/wiki/David_D._Friedman,David D. Friedman
,,https://en.wikipedia.org/wiki/Athanasius_of_Alexandria,Athanasius of Alexandria
"Plato,Antisthenes,Pericles","Empedocles,Parmenides,Zeno of Elea",https://en.wikipedia.org/wiki/Gorgias,Gorgias
,,https://en.wikipedia.org/wiki/Isaac_Newton,Isaac Newton
,,https://en.wikipedia.org/wiki/Joseph_Priestley,Joseph Priestley
,,https://en.wikipedia.org/wiki/Gregory_of_Nazianzus,Gregory of Nazianzus
"Sextus Empiricus,Favorinus,Plutarch","Pyrrho,Timon (philosopher),Heraclitus",https://en.wikipedia.org/wiki/Aenesidemus,Aenesidemus
Stoic philosophy,"Heraclitus,Socrates,Epictetus,Quintus Junius Rusticus,Apollonius of Chalcedon,Sextus of Chaeronea",https://en.wikipedia.org/wiki/Marcus_Aurelius,Marcus Aurelius
"Clement of Alexandria,Origen",,https://en.wikipedia.org/wiki/Pantaenus,Pantaenus
,,https://en.wikipedia.org/wiki/School_of_Chartres,School of Chartres
,,https://en.wikipedia.org/wiki/Christian_philosophy,Christian philosophy
,,https://en.wikipedia.org/wiki/Stoics,Stoicism
,,https://en.wikipedia.org/wiki/Israel_the_Grammarian,Israel the Grammarian
,,https://en.wikipedia.org/wiki/Alain_de_Lille,Alain de Lille
,,https://en.wikipedia.org/wiki/Amaury_of_Bene,Amalric of Bena
,,https://en.wikipedia.org/wiki/Berengar_of_Tours,Berengar of Tours
,,https://en.wikipedia.org/wiki/Peter_Damian,Peter Damian
,,https://en.wikipedia.org/wiki/Honorius_Augustodunensis,Honorius Augustodunensis
"Eugene III,Elisabeth of Schönau,Anastasius IV,Abbot Suger,Frederick I Barbarossa,Volmar,Margot Fassler,Mélanie Lipinska,Constructed language,New Age movement,Rudolf Steiner,Grace McLean","Old Testament,Genesis creation narrative,New Testament,Paul the Apostle,John the Evangelist,Augustine of Hippo,John Scotus Eriugena,Jutta von Sponheim,Bernard of Clairvaux",https://en.wikipedia.org/wiki/Hildegard_of_Bingen,Hildegard of Bingen
,,https://en.wikipedia.org/wiki/Andrew_Sullivan,Andrew Sullivan
,,https://en.wikipedia.org/wiki/Cappadocian_Fathers,Cappadocian Fathers
,,https://en.wikipedia.org/wiki/Richard_E._Flathman,Richard E. Flathman
,,https://en.wikipedia.org/wiki/Hayden_White,Hayden White
,"John Stuart Mill,Isaiah Berlin,Michael Oakeshott,Arthur Schopenhauer,Karl Polanyi,Emil Cioran,James Lovelock",https://en.wikipedia.org/wiki/John_N._Gray,John Gray (philosopher)
,,https://en.wikipedia.org/wiki/Gertrude_Himmelfarb,Gertrude Himmelfarb
"Diogenes of Sinope,Crates of Thebes,Cynicism (philosophy),Stoicism","Socrates,Gorgias",https://en.wikipedia.org/wiki/Antisthenes,Antisthenes
"Herodes Atticus,Demetrius the Cynic,Cornelius Fronto,Aulus Gellius,Hadrian,Lucian","Plutarch,Aenesidemus",https://en.wikipedia.org/wiki/Favorinus,Favorinus
"Sextus Empiricus,Aenesidemus","Pyrrho,Democritus,Xenophanes",https://en.wikipedia.org/wiki/Timon_(philosopher),Timon of Phlius
,,https://en.wikipedia.org/wiki/Maurice_Cowling,Maurice Cowling
,,https://en.wikipedia.org/wiki/Plutarch,Plutarch
,,https://en.wikipedia.org/wiki/Margaret_Thatcher,Margaret Thatcher
"Marcus Aurelius,Apuleius,Herodes Atticus,Himerius",Plutarch,https://en.wikipedia.org/wiki/Sextus_of_Chaeronea,Sextus of Chaeronea
,,https://en.wikipedia.org/wiki/Apollonius_of_Chalcedon,Apollonius of Chalcedon
,,https://en.wikipedia.org/wiki/Quintus_Junius_Rusticus,Junius Rusticus
,,https://en.wikipedia.org/wiki/J._G._A._Pocock,J. G. A. Pocock
,,https://en.wikipedia.org/wiki/Walter_Pater,Walter Pater
,,https://en.wikipedia.org/wiki/Stoic_philosophy,Stoicism
,,https://en.wikipedia.org/wiki/James_Beattie_(poet),James Beattie (poet)
,,https://en.wikipedia.org/wiki/Ferdinand_T%C3%B6nnies,Ferdinand Tönnies
"David Hume,Immanuel Kant,Thomas Reid,Arthur Schopenhauer,John Stuart Mill,Ernst Mach","Pierre Bayle,John Locke,Isaac Newton,Nicolas Malebranche",https://en.wikipedia.org/wiki/George_Berkeley,George Berkeley
,,https://en.wikipedia.org/wiki/Mel_Bradford,Mel Bradford
,,https://en.wikipedia.org/wiki/Robert_Novak,Robert Novak
,,https://en.wikipedia.org/wiki/Antonin_Scalia,Antonin Scalia
,,https://en.wikipedia.org/wiki/Grace_McLean,Grace McLean
,,https://en.wikipedia.org/wiki/Old_Testament,Old Testament
,,https://en.wikipedia.org/wiki/Margot_Fassler,Margot Fassler
,,https://en.wikipedia.org/wiki/M%C3%A9lanie_Lipinska,Mélanie Lipinska
,,https://en.wikipedia.org/wiki/Constructed_language,Constructed language
,,https://en.wikipedia.org/wiki/Himerius,Himerius
,,https://en.wikipedia.org/wiki/Volmar,Volmar
,,https://en.wikipedia.org/wiki/Apuleius,Apuleius
,,https://en.wikipedia.org/wiki/Aulus_Gellius,Aulus Gellius
,,https://en.wikipedia.org/wiki/New_Age_movement,New Age
,,https://en.wikipedia.org/wiki/Frederick_I_Barbarossa,"Frederick I, Holy Roman Emperor"
,,https://en.wikipedia.org/wiki/Cornelius_Fronto,Marcus Cornelius Fronto
,,https://en.wikipedia.org/wiki/Demetrius_the_Cynic,Demetrius the Cynic
,,https://en.wikipedia.org/wiki/Lucian,Lucian
,,https://en.wikipedia.org/wiki/Hadrian,Hadrian
,,https://en.wikipedia.org/wiki/Cynicism_(philosophy),Cynicism (philosophy)
"Hipparchia of Maroneia,Metrocles,Zeno of Citium",Diogenes of Sinope,https://en.wikipedia.org/wiki/Crates_of_Thebes,Crates of Thebes
,,https://en.wikipedia.org/wiki/Herodes_Atticus,Herodes Atticus
,,https://en.wikipedia.org/wiki/Abbot_Suger,Suger
"Crates of Thebes,Cynicism (philosophy),Epicurus,Stoics,Han Ryner,Michel Onfray,Søren Kierkegaard","Antisthenes,Socrates",https://en.wikipedia.org/wiki/Diogenes_of_Sinope,Diogenes
,,https://en.wikipedia.org/wiki/James_Lovelock,James Lovelock
,,https://en.wikipedia.org/wiki/Stoicism,Stoicism
"David Hume,Gottfried Wilhelm Leibniz,George Berkeley,Giambattista Vico,Montesquieu,J.-J. Rousseau,Joseph de Maistre,Louis Gabriel Ambroise de Bonald,Louis Lavelle,Jacob Bernoulli","René Descartes,Augustine of Hippo",https://en.wikipedia.org/wiki/Nicolas_Malebranche,Nicolas Malebranche
"Bishop Berkeley,Marquis de Condorcet,Denis Diderot,Frederick the Great,David Hume,Pierre des Maizeaux,Bernard Mandeville,Pierre Louis Maupertuis,John Toland,Giambattista Vico,Voltaire,Jean-Jacques Rousseau","René Descartes,Baruch Spinoza",https://en.wikipedia.org/wiki/Pierre_Bayle,Pierre Bayle
,,https://en.wikipedia.org/wiki/Anastasius_IV,Pope Anastasius IV
,,https://en.wikipedia.org/wiki/John_the_Evangelist,John the Evangelist
,,https://en.wikipedia.org/wiki/Elisabeth_of_Sch%C3%B6nau,Elisabeth of Schönau
,,https://en.wikipedia.org/wiki/Eugene_III,Pope Eugene III
,,https://en.wikipedia.org/wiki/Jutta_von_Sponheim,Jutta von Sponheim
,,https://en.wikipedia.org/wiki/Jerome_Corsi,Jerome Corsi
,,https://en.wikipedia.org/wiki/Bernard_of_Clairvaux,Bernard of Clairvaux
,,https://en.wikipedia.org/wiki/Michelle_Malkin,Michelle Malkin
,,https://en.wikipedia.org/wiki/Genesis_creation_narrative,Genesis creation narrative
"Cleanthes,Chrysippus,Panaetius,Posidonius,Seneca the Younger,Epictetus,Marcus Aurelius","Cynicism (philosophy),Socrates,Crates of Thebes,Diodorus Cronus,Heraclitus,Hipparchia of Maroneia,Philo the Dialectician,Polemon (scholarch),Stilpo",https://en.wikipedia.org/wiki/Zeno_of_Citium,Zeno of Citium
,,https://en.wikipedia.org/wiki/Paul_the_Apostle,Paul the Apostle
,,https://en.wikipedia.org/wiki/John_Porter_East,John Porter East
,,https://en.wikipedia.org/wiki/Rick_Santorum,Rick Santorum
,,https://en.wikipedia.org/wiki/Pat_Buchanan,Pat Buchanan
,,https://en.wikipedia.org/wiki/William_F._Buckley_Jr.,William F. Buckley Jr.
,Crates of Thebes,https://en.wikipedia.org/wiki/Hipparchia_of_Maroneia,Hipparchia of Maroneia
,Crates of Thebes,https://en.wikipedia.org/wiki/Metrocles,Metrocles
,,https://en.wikipedia.org/wiki/John_Randolph_of_Roanoke,John Randolph of Roanoke
"Plotinus,Neoplatonism","Aristotle,Plato",https://en.wikipedia.org/wiki/Plutarch_of_Athens,Plutarch of Athens
"Iniciales,La Revista Blanca,Maria Lacerda de Moura,Michel Onfray","Max Stirner,Epictetus,Epicurus,Diogenes of Sinope",https://en.wikipedia.org/wiki/Han_Ryner,Han Ryner
"Proclus,Aedesius","Porphyry (philosopher),Pythagoras,Neopythagoreanism,Aristotle,Plato",https://en.wikipedia.org/wiki/Iamblichus,Iamblichus
,John Locke,https://en.wikipedia.org/wiki/John_Toland,John Toland
,,https://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis,Pierre Louis Maupertuis
,,https://en.wikipedia.org/wiki/T._S._Eliot,T. S. Eliot
,,https://en.wikipedia.org/wiki/J._R._R._Tolkien,J. R. R. Tolkien
"Adam Smith,Friedrich Hayek,Jean-François Melon","René Descartes,William Petty,Pierre Bayle",https://en.wikipedia.org/wiki/Bernard_Mandeville,Bernard Mandeville
,,https://en.wikipedia.org/wiki/Pierre_des_Maizeaux,Pierre des Maizeaux
,,https://en.wikipedia.org/wiki/Jacob_Bernoulli,Jacob Bernoulli
,,https://en.wikipedia.org/wiki/Frederick_the_Great,Frederick the Great
"Joseph de Maistre,Chateaubriand,Juan Donoso Cortés,Lamennais,Charles Maurras,Carl Schmitt,Julius Evola","Plato,Aristotle,Socrates,Augustine of Hippo,Thomas Aquinas,Tacitus,Blaise Pascal,Jacques-Bénigne Bossuet,Nicolas Malebranche,Leibniz",https://en.wikipedia.org/wiki/Louis_Gabriel_Ambroise_de_Bonald,Louis de Bonald
"David Hume,Immanuel Kant,Thomas Reid,Arthur Schopenhauer,John Stuart Mill,Ernst Mach","Pierre Bayle,John Locke,Isaac Newton,Nicolas Malebranche",https://en.wikipedia.org/wiki/Bishop_Berkeley,George Berkeley
,,https://en.wikipedia.org/wiki/Neil_MacCormick,Neil MacCormick
,,https://en.wikipedia.org/wiki/Tony_Honor%C3%A9,Tony Honoré
,"H. L. A. Hart,Tony Honoré,Joseph Raz,Jonathan Glover",https://en.wikipedia.org/wiki/John_Gardner_(law),John Gardner (legal philosopher)
,,https://en.wikipedia.org/wiki/Brian_Barry,Brian Barry
"John Gardner (legal philosopher),Leslie Green (philosopher),Matthew Kramer,Timothy Endicott,Scott J. Shapiro","H. L. A. Hart,Hans Kelsen,Peter Hacker",https://en.wikipedia.org/wiki/Joseph_Raz,Joseph Raz
"Sossianus Hierocles,Boethius,Scholasticism,Aristotelianism,Isagoge,Neoplatonism","Plotinus,Middle Platonism,Plato,Aristotle",https://en.wikipedia.org/wiki/Porphyry_(philosopher),Porphyry (philosopher)
,,https://en.wikipedia.org/wiki/John_Finnis,John Finnis
"Immanuel Kant,French Revolution,American Revolution,Maximilien Robespierre,Louis Antoine de Saint-Just,Counter-Enlightenment,Romanticism,David Hume,Thomas Paine,Adam Smith,Mary Wollstonecraft,G.W.F. Hegel,Pierre-Joseph Proudhon,Karl Marx,Friedrich Engels,Friedrich Nietzsche,Charles Darwin,Sigmund Freud,Jacques Derrida,Marquis de Sade,Leo Strauss,Maria Montessori,Johann Wolfgang von Goethe,Leo Tolstoy,John Dewey,Dimitri Kitsikis,Madame de Stael,Arthur Schopenhauer,Johann Gottlieb Fichte,John Rawls","Plato,Aristotle,Socrates,Niccolo Machiavelli,Thomas Hobbes,Baruch Spinoza,John Locke,Montesquieu,Denis Diderot,Voltaire,Jean le Rond d'Alembert,Louise d'Épinay",https://en.wikipedia.org/wiki/J.-J._Rousseau,Jean-Jacques Rousseau
"Chrysippus,Sphaerus",Zeno of Citium,https://en.wikipedia.org/wiki/Cleanthes,Cleanthes
"Cicero,Cleomedes,Diodorus Siculus,Jason of Nysa,Livy,Plutarch,Seneca the Younger,Strabo",Panaetius,https://en.wikipedia.org/wiki/Posidonius,Posidonius
"Hecato of Rhodes,Posidonius,Cicero","Diogenes of Babylon,Antipater of Tarsus",https://en.wikipedia.org/wiki/Panaetius,Panaetius
,"Zeno of Citium,Cleanthes,Diodorus Cronus,Philo the Dialectician,Aristotle,Plato",https://en.wikipedia.org/wiki/Chrysippus,Chrysippus
"Marcus Aurelius,Michel de Montaigne,Dante Alighieri,Augustine of Hippo,Albertino Mussato,Giovanni Colonna (cardinal, 1295–1348),Tertullian,Martin of Braga,Medieval philosophy","Plato,Epicurus,Zeno of Citium,Cleanthes,Chrysippus,Publilius Syrus,Attalus (Stoic),Sotion (Pythagorean)",https://en.wikipedia.org/wiki/Seneca_the_Younger,Seneca the Younger
,,https://en.wikipedia.org/wiki/Aedesius,Aedesius
,,https://en.wikipedia.org/wiki/Maria_Lacerda_de_Moura,Maria Lacerda de Moura
,,https://en.wikipedia.org/wiki/Neopythagoreanism,Neopythagoreanism
,,https://en.wikipedia.org/wiki/Philo_the_Dialectician,Philo the Dialectician
"Bernard de Mandeville,Adam Smith,Keynes,Karl Marx","Aristotle,Thomas Hobbes,Francis Bacon",https://en.wikipedia.org/wiki/William_Petty,William Petty
"Crates of Thebes,Zeno of Citium,Nicarete of Megara,Menedemus,Asclepiades of Phlius","Euclid of Megara,Thrasymachus of Corinth,Pasicles of Thebes,Diodorus Cronus",https://en.wikipedia.org/wiki/Stilpo,Stilpo
,,https://en.wikipedia.org/wiki/Polemon_(scholarch),Polemon (scholarch)
,,https://en.wikipedia.org/wiki/Diodorus_Cronus,Diodorus Cronus
,,https://en.wikipedia.org/wiki/La_Revista_Blanca,
,,https://en.wikipedia.org/wiki/Iniciales,
"Charles de Gaulle,Fumimaro Konoe,António de Oliveira Salazar,Francisco Franco,Philippe Pétain,Michel Aflaq,Dimitrije Ljotić,Augusto Pinochet,Juan Peron,Jacques Maritain,Steve Bannon,Pierre Boutang","Auguste Comte,Édouard Drumont,Ernest Renan,Joseph de Maistre,Hippolyte Taine,Louis de Bonald,Maurice Barrès",https://en.wikipedia.org/wiki/Charles_Maurras,Charles Maurras
,,https://en.wikipedia.org/wiki/Lamennais,Hugues Felicité Robert de Lamennais
,,https://en.wikipedia.org/wiki/Juan_Donoso_Cort%C3%A9s,Juan Donoso Cortés
,,https://en.wikipedia.org/wiki/Jacques-B%C3%A9nigne_Bossuet,Jacques-Bénigne Bossuet
,,https://en.wikipedia.org/wiki/Tacitus,Tacitus
,,https://en.wikipedia.org/wiki/Chateaubriand,François-René de Chateaubriand
,,https://en.wikipedia.org/wiki/Neoplatonism,Neoplatonism
,"H. L. A. Hart,Tony Honoré,Joseph Raz,Jonathan Glover",https://en.wikipedia.org/wiki/John_Gardner_(legal_philosopher),John Gardner (legal philosopher)
,,https://en.wikipedia.org/wiki/Jonathan_Glover,Jonathan Glover
"Robert Alexy,Jeremy Waldron","Rupert Cross,Learned Hand,H. L. A. Hart,John Rawls",https://en.wikipedia.org/wiki/Ronald_Dworkin,Ronald Dworkin
,,https://en.wikipedia.org/wiki/Friedrich_Waismann,Friedrich Waismann
"Norberto Bobbio,Horst Dreier,H. L. A. Hart,Josef Laurenz Kunz,Adolf Merkl (page does not exist),de:Adolf Julius Merkl","Hermann Cohen,David Hume,Immanuel Kant,Hans Vaihinger",https://en.wikipedia.org/wiki/Hans_Kelsen,Hans Kelsen
"Joseph Raz,H. L. A. Hart",Jeremy Bentham,https://en.wikipedia.org/wiki/John_Austin_(legal_philosopher),John Austin (legal philosopher)
,,https://en.wikipedia.org/wiki/Maria_Montessori,Maria Montessori
,"Jean-Jacques Rousseau,Fethullah Gülen,Mao Zedong,Pierre Renouvin",https://en.wikipedia.org/wiki/Dimitri_Kitsikis,Dimitri Kitsikis
,,https://en.wikipedia.org/wiki/Alfred_Fouill%C3%A9e,Alfred Jules Émile Fouillée
,,https://en.wikipedia.org/wiki/Medieval_philosophy,Medieval philosophy
"Charles Darwin,Henry Sidgwick,William Graham Sumner,Murray Rothbard,Émile Durkheim,Henri Bergson,Jorge Luis Borges,Jack London","Aristotle,Charles Darwin,Auguste Comte,John Stuart Mill,George Henry Lewes,Jean-Baptiste Lamarck,Thomas Henry Huxley",https://en.wikipedia.org/wiki/Herbert_Spencer,Herbert Spencer
,,https://en.wikipedia.org/wiki/Madame_de_Stael,Germaine de Staël
,,https://en.wikipedia.org/wiki/Martin_of_Braga,Martin of Braga
"Adam Smith,Friedrich Hayek,Jean-François Melon","René Descartes,William Petty,Pierre Bayle",https://en.wikipedia.org/wiki/Bernard_de_Mandeville,Bernard Mandeville
,,https://en.wikipedia.org/wiki/Asclepiades_of_Phlius,Asclepiades of Phlius
,,https://en.wikipedia.org/wiki/Menedemus,Menedemus
,,https://en.wikipedia.org/wiki/Nicarete_of_Megara,Nicarete of Megara
,,https://en.wikipedia.org/wiki/Pasicles_of_Thebes,Pasicles of Thebes
,,https://en.wikipedia.org/wiki/Keynes,John Maynard Keynes
,,https://en.wikipedia.org/wiki/Thrasymachus_of_Corinth,Thrasymachus of Corinth
"Ichthyas,Eubulides,Clinomachus,Thrasymachus of Corinth,Stilpo","Socrates,Eleatic school",https://en.wikipedia.org/wiki/Euclid_of_Megara,Euclid of Megara
"Basil Montagu,Encyclopédistes,Isaac Newton,John Locke,Robert Boyle,Thomas Hobbes,Thomas Jefferson,Voltaire,Jean-Jacques Rousseau,William Petty","Aristotle,Bernard Palissy,Bernardino Telesio,Cicero,Michel de Montaigne,Machiavelli,Paracelsus,Plato,Roger Bacon,Biringuccio,William Gilbert (astronomer)",https://en.wikipedia.org/wiki/Francis_Bacon,Francis Bacon
