influenced,influences,link,name
,"Gilles Deleuze,Félix Guattari,Ray Brassier,Nick Land,Charles Sanders Peirce,Robert Brandom,Wilfrid Sellars,Rudolf Carnap",https://en.wikipedia.org/wiki/Reza_Negarestani,Reza Negarestani
,,https://en.wikipedia.org/wiki/Leopoldina_Fortunati,Leopoldina Fortunati
,,https://en.wikipedia.org/wiki/Richard_J._F._Day,
"Ernesto Laclau,Slavoj Žižek,Simon Critchley,Bernard Aspe (page does not exist),Kristin Ross,Todd May,Levi Bryant,Jodi Dean,Gabriel Rockhill","Plato,Aristotle,Karl Marx,Louis Althusser,Michel Foucault,Jacques Lacan,Jean-François Lyotard,Alain Badiou,Hannah Arendt,Claude Lefort",https://en.wikipedia.org/wiki/Jacques_Ranci%C3%A8re,Jacques Rancière
"Jeremy Dunham (page does not exist),Ben Woodard (page does not exist)","Gilles Deleuze,Plato,Friedrich Wilhelm Joseph Schelling,Nick Land",https://en.wikipedia.org/wiki/Iain_Hamilton_Grant,Iain Hamilton Grant
"Max Scheler,Jitendra Nath Mohanty,Martin Heidegger","Hermann Cohen,Paul Natorp,Immanuel Kant,G. W. F. Hegel,Plato,Max Scheler",https://en.wikipedia.org/wiki/Nicolai_Hartmann,Nicolai Hartmann
,,https://en.wikipedia.org/wiki/Daniel_Ross_(philosopher),Daniel Ross (philosopher)
"Wallace Stevens,John Lachs,Glenn Gould","Democritus,Plato,Aristotle,Lucretius,Spinoza,Schopenhauer,William James",https://en.wikipedia.org/wiki/George_Santayana,George Santayana
,,https://en.wikipedia.org/wiki/Donna_Haraway,Donna Haraway
,,https://en.wikipedia.org/wiki/G%C3%A9rard_Granel,Gérard Granel
,,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez,Hugo Chávez
,,https://en.wikipedia.org/wiki/Andr%C3%A9_Leroi-Gourhan,André Leroi-Gourhan
,"Quentin Meillassoux,Alain Badiou,Francis Wolff,Sandra Laugier,Aristotle,Ludwig Wittgenstein",https://en.wikipedia.org/wiki/Tristan_Garcia,Tristan Garcia
,,https://en.wikipedia.org/wiki/Jason_Barker,Jason Barker
,,https://en.wikipedia.org/wiki/Nina_Power,Nina Power
,,https://en.wikipedia.org/wiki/Norbert_Wiener,Norbert Wiener
,,https://en.wikipedia.org/wiki/Justin_Clemens,Justin Clemens
"Alvin Plantinga,Elisabeth Lloyd,Nancy Cartwright (philosopher),Michael Rea,Arthur Fine,Hans Halvorson (page does not exist)","Hans Reichenbach,Wilfrid Sellars,Adolf Grünbaum,Jean-Paul Sartre,Albert Camus",https://en.wikipedia.org/wiki/Bas_van_Fraassen,Bas van Fraassen
"Michel Aflaq,Curzio Malaparte,Antonio Gramsci,Carl Schmitt,Benito Mussolini,Vladimir Lenin,Adolf Hitler,Alain de Benoist,Walter Benjamin,Édouard Berth,Hubert Lagardelle,Albert Camus,Paolo Orano,Julius Evola","Aristotle,Henri Bergson,William James,William Godwin,Karl Marx,Charles Darwin,Sigmund Freud,Friedrich Nietzsche,Pierre-Joseph Proudhon,Ernest Renan,Hippolyte Taine,Giambattista Vico",https://en.wikipedia.org/wiki/Georges_Sorel,Georges Sorel
